Date,Visitors,Month,Monthly_Rainfall_cm,Precipitation,SchoolBreak,DayOfWeek,IsWeekend,Predicted_Visitors,TotalRevenue,RevenuePerVisitor
2024-05-01,873.0,5,8.3,0.0,0,2,0,1269.4276750411043,2682.55,3.072794959908362
2024-05-02,905.0,5,8.3,0.0,0,3,0,1347.7357080509362,4192.15,4.632209944751381
2024-05-03,1486.0,5,8.3,0.0,0,4,0,1426.0437410607678,2447.4,1.6469717362045762
2024-05-04,4053.0,5,8.3,0.0,0,5,1,3422.354985988338,1933.81,0.47713052060202316
2024-05-05,2491.0,5,8.3,0.0,0,6,1,3500.6630189981697,3159.5,1.2683661180248895
2024-05-06,1014.0,5,8.3,0.0,0,0,0,1112.8116090214412,1911.89,1.885493096646943
2024-05-07,1057.0,5,8.3,0.0,0,1,0,1191.1196420312729,2556.39,2.418533585619678
2024-05-08,849.0,5,8.3,0.0,0,2,0,1269.4276750411043,2879.14,3.391213191990577
2024-05-09,1011.0,5,8.3,0.0,0,3,0,1347.7357080509362,2664.46,2.6354698318496537
2024-05-10,1790.0,5,8.3,0.7,0,4,0,1644.194822349705,2927.72,1.6355977653631284
2024-05-11,3729.0,5,8.3,0.0,0,5,1,3422.354985988338,2544.92,0.6824671493698042
2024-05-12,2559.0,5,8.3,0.0,0,6,1,3500.6630189981697,3402.68,1.3296912856584602
2024-05-13,1021.0,5,8.3,0.3,0,0,0,1206.3049295738429,2372.02,2.3232321253672867
2024-05-14,1010.0,5,8.3,0.0,0,1,0,1191.1196420312729,4003.87,3.9642277227722773
2024-05-15,1130.0,5,8.3,0.0,0,2,0,1269.4276750411043,3595.74,3.182070796460177
2024-05-16,1029.0,5,8.3,0.3,0,3,0,1441.2290286033378,2968.85,2.885179786200194
2024-05-17,2034.0,5,8.3,0.0,0,4,0,1426.0437410607678,3097.27,1.522748279252704
2024-05-18,4286.0,5,8.3,0.0,0,5,1,3422.354985988338,1992.29,0.46483667755482966
2024-05-19,3020.0,5,8.3,0.3,0,6,1,3594.1563395505714,3520.16,1.165615894039735
2024-05-20,850.0,5,8.3,0.0,0,0,0,1112.8116090214412,2770.28,3.259152941176471
2024-05-21,1009.0,5,8.3,0.0,0,1,0,1191.1196420312729,3294.98,3.265589692765114
