Date,Visitors,Month,Monthly_Rainfall_cm,Precipitation,SchoolBreak,DayOfWeek,IsWeekend,Predicted_Visitors,TotalRevenue
2024-05-01,873.0,5,8.3,0.0,0,2,0,1269.4276750411043,2682.55
2024-05-02,905.0,5,8.3,0.0,0,3,0,1347.7357080509362,4192.15
2024-05-03,1486.0,5,8.3,0.0,0,4,0,1426.0437410607678,2447.4
2024-05-04,4053.0,5,8.3,0.0,0,5,1,3422.354985988338,1933.81
2024-05-05,2491.0,5,8.3,0.0,0,6,1,3500.6630189981697,3159.5
2024-05-06,1014.0,5,8.3,0.0,0,0,0,1112.8116090214412,1911.89
2024-05-07,1057.0,5,8.3,0.0,0,1,0,1191.1196420312729,2556.39
2024-05-08,849.0,5,8.3,0.0,0,2,0,1269.4276750411043,2879.14
2024-05-09,1011.0,5,8.3,0.0,0,3,0,1347.7357080509362,2664.46
2024-05-10,1790.0,5,8.3,0.7,0,4,0,1644.194822349705,2927.72
2024-05-11,3729.0,5,8.3,0.0,0,5,1,3422.354985988338,2544.92
2024-05-12,2559.0,5,8.3,0.0,0,6,1,3500.6630189981697,3402.68
2024-05-13,1021.0,5,8.3,0.3,0,0,0,1206.3049295738429,2372.02
2024-05-14,1010.0,5,8.3,0.0,0,1,0,1191.1196420312729,4003.87
2024-05-15,1130.0,5,8.3,0.0,0,2,0,1269.4276750411043,3595.74
2024-05-16,1029.0,5,8.3,0.3,0,3,0,1441.2290286033378,2968.85
2024-05-17,2034.0,5,8.3,0.0,0,4,0,1426.0437410607678,3097.27
2024-05-18,4286.0,5,8.3,0.0,0,5,1,3422.354985988338,1992.29
2024-05-19,3020.0,5,8.3,0.3,0,6,1,3594.1563395505714,3520.16
2024-05-20,850.0,5,8.3,0.0,0,0,0,1112.8116090214412,2770.28
2024-05-21,1009.0,5,8.3,0.0,0,1,0,1191.1196420312729,3294.98
2024-05-22,1238.0,5,8.3,0.0,0,2,0,1269.4276750411043,3428.85
2024-05-23,1252.0,5,8.3,0.0,0,3,0,1347.7357080509362,2788.95
2024-05-24,2008.0,5,8.3,0.0,0,4,0,1426.0437410607678,2402.64
2024-05-25,4287.0,5,8.3,0.0,0,5,1,3422.354985988338,2396.41
2024-05-26,3816.0,5,8.3,0.0,0,6,1,3500.6630189981697,2920.71
2024-05-27,2860.0,5,8.3,0.0,0,0,0,1112.8116090214412,3447.75
2024-05-28,1422.0,5,8.3,0.4,0,1,0,1315.7774027678083,2664.35
2024-05-29,1521.0,5,8.3,0.0,1,2,0,2742.2596854324024,2490.03
2024-05-30,1840.0,5,8.3,0.0,1,3,0,2820.567718442234,2594.16
2024-05-31,2651.0,5,8.3,0.0,1,4,0,2898.8757514520657,2534.23
2024-06-01,3619.0,6,18.2,0.0,1,5,1,4867.216311926582,2523.52
2024-06-02,2955.0,6,18.2,0.0,1,6,1,4945.524344936413,2810.1
2024-06-03,1382.0,6,18.2,0.0,1,0,0,2557.6729349596853,2585.47
2024-06-04,1535.0,6,18.2,0.0,1,1,0,2635.980967969517,3025.47
2024-06-05,1574.0,6,18.2,0.0,1,2,0,2714.2890009793487,3154.19
2024-06-06,2237.0,6,18.2,1.2,1,3,0,3166.5703161987867,2949.34
2024-06-07,2646.0,6,18.2,0.0,1,4,0,2870.905066999012,3385.29
2024-06-08,5939.0,6,18.2,0.0,1,5,1,4867.216311926582,3036.96
2024-06-09,4996.0,6,18.2,0.0,1,6,1,4945.524344936413,3046.34
2024-06-10,1872.0,6,18.2,0.6,1,0,0,2744.6595760644886,3728.94
2024-06-11,3844.0,6,18.2,0.5,1,1,0,2791.8031688901865,2840.75
2024-06-12,2599.0,6,18.2,0.0,1,2,0,2714.2890009793487,2238.82
2024-06-13,2466.0,6,18.2,0.0,1,3,0,2792.59703398918,2891.01
2024-06-14,3649.0,6,18.2,0.0,1,4,0,2870.905066999012,3504.41
2024-06-15,5955.0,6,18.2,0.0,1,5,1,4867.216311926582,2490.1
2024-06-16,5234.0,6,18.2,0.0,1,6,1,4945.524344936413,2047.51
2024-06-17,2062.0,6,18.2,0.0,1,0,0,2557.6729349596853,3172.04
2024-06-18,2748.0,6,18.2,0.0,1,1,0,2635.980967969517,2692.81
2024-06-19,3068.0,6,18.2,1.0,1,2,0,3025.933402820687,3220.04
2024-06-20,2636.0,6,18.2,0.0,1,3,0,2792.59703398918,4136.76
2024-06-21,3376.0,6,18.2,0.0,1,4,0,2870.905066999012,2497.32
2024-06-22,5999.0,6,18.2,0.0,1,5,1,4867.216311926582,3047.05
2024-06-23,6517.0,6,18.2,0.2,1,6,1,5007.8532253046815,3117.79
2024-06-24,1939.0,6,18.2,0.0,1,0,0,2557.6729349596853,3154.75
2024-06-25,2846.0,6,18.2,1.4,1,1,0,3072.283130547391,4030.08
2024-06-26,2408.0,6,18.2,0.0,1,2,0,2714.2890009793487,3304.38
2024-06-27,2383.0,6,18.2,0.0,1,3,0,2792.59703398918,4382.95
2024-06-28,3850.0,6,18.2,0.0,1,4,0,2870.905066999012,4173.12
2024-06-29,5871.0,6,18.2,0.3,1,5,1,4960.709632478984,4463.29
2024-06-30,5609.0,6,18.2,0.6,1,6,1,5132.510986041218,2988.48
2024-07-01,1722.0,7,20.8,0.0,1,0,0,2529.702250506632,3093.05
2024-07-02,2723.0,7,20.8,0.0,1,1,0,2608.0102835164635,3454.27
2024-07-03,2973.0,7,20.8,0.0,1,2,0,2686.318316526296,3287.85
2024-07-04,3231.0,7,20.8,0.0,1,3,0,2764.626349536127,3165.94
2024-07-05,4731.0,7,20.8,0.0,1,4,0,2842.9343825459587,3482.24
